[00:00:03.10],Start
[00:01:30.05],Inflection
[00:27:08.27],Inflection
[00:31:07.21],Inflection
[00:33:34.01],Inflection
[00:37:37.12],Inflection
[00:40:18.21],Inflection
[00:44:02.29],Inflection
[00:50:12.10],Inflection
[00:53:43.12],Inflection
[00:56:31.01],Inflection
[01:01:02.04],Inflection
[01:04:13.02],Inflection
[01:06:25.27],Inflection
[01:09:07.26],Inflection
[01:09:57.11],Inflection
[01:14:27.24],Inflection
[01:17:44.07],Inflection
[01:19:43.13],Inflection
[01:22:28.07],Inflection
[01:25:14.25],Inflection
[01:28:45.13],Inflection
