[00:01:42.25],Start
[00:04:57.07],Inflection
[00:08:33.08],Inflection
[00:09:13.07],Inflection
[00:09:46.21],Inflection
[00:11:15.15],Inflection
[00:13:51.10],Inflection
[00:14:18.03],Inflection
[00:15:29.01],Inflection
[00:17:13.09],Inflection
[00:18:26.06],Inflection
[00:20:16.23],Inflection
[00:21:10.04],Inflection
[00:24:42.27],Inflection
[00:29:50.10],Inflection
[00:32:06.11],Inflection
[00:35:59.12],Inflection
[00:39:00.27],Inflection
[00:41:04.11],Inflection
[00:43:41.19],Inflection
[00:46:15.20],Inflection
[00:56:03.27],Inflection
[00:56:52.06],Inflection
[01:02:28.24],Inflection
[01:03:29.05],Inflection
[01:12:53.20],Inflection
[01:15:40.16],Inflection
[01:22:22.11],Inflection
[01:23:50.04],Inflection
[01:27:20.09],Inflection
[01:30:22.21],Inflection
